outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,21,NA,NA,8.317038240922813,-55.530200895675094,72.16427737752072
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,22,NA,NA,7.617194296187481,-58.74141708715655,73.9758056795315
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,23,NA,NA,6.917350351452137,-61.95339885763668,75.78809956054096
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,24,NA,NA,6.217506406716799,-65.16606621242823,77.60107902586182
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,25,NA,NA,5.517662461981468,-68.37934907745942,79.41467400142237
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,26,NA,NA,4.817818517246117,-71.59318632926374,81.22882336375596
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,27,NA,NA,4.117974572510779,-74.80752528838224,83.04347443340379
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,28,NA,NA,3.418130627775455,-78.02231739146664,84.85857864701755
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,29,NA,NA,2.71828668304011,-81.23752576405349,86.6740991301337
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,30,NA,NA,2.018442738304773,-84.45311230140057,88.4899977780101
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,31,NA,NA,1.318598793569428,-87.66904670835034,90.30624429548918
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,32,NA,NA,0.6187548488340835,-90.8852968039128,92.12280650158098
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,33,NA,NA,-0.08108909590125446,-94.10183872205414,93.93966053025164
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,34,NA,NA,-0.7809330406365853,-97.31864783867952,95.75678175740634
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,35,NA,NA,-1.4807769853719377,-100.53570808810191,97.57415411735806
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,36,NA,NA,-2.180620930107267,-103.7529979005336,99.39175604031904
