batch,analysis,age_at_sleep,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear,duration_direct_estimate,duration_direct_minus_derived,midpoint_direct_estimate,midpoint_direct_minus_derived
base,derived_duration_midpoint_age,52,Weekday,NA,-0.913547190874998,6.3772997273049565,7.290846918179955,2.731876268214979,7.37198585559531,0.08113893741535527,2.9162296276120183,0.1843533593970399
base,derived_duration_midpoint_age,52,Weekend,NA,-0.47232629150336586,7.3069152291714525,7.779241520674819,3.4172944688340436,7.878652486385602,0.09941096571078312,3.613772939788848,0.1964784709548049
base,derived_duration_midpoint_age,53,Weekday,NA,-0.9188711639023632,6.39367172224055,7.312542886142913,2.7374002791690932,7.386069450022555,0.07352656387964185,2.917402366222597,0.18000208705350396
base,derived_duration_midpoint_age,53,Weekend,NA,-0.48465202672425456,7.313475705216784,7.7981277319410385,3.414411839246265,7.889658295700583,0.09153056375954448,3.6063917055967143,0.19197986635045083
base,derived_duration_midpoint_age,54,Weekday,NA,-0.9227752848643214,6.412276574709122,7.3350518595734435,2.7447506449224006,7.400906190265724,0.06585433069228053,2.920298588969184,0.17554794404678375
base,derived_duration_midpoint_age,54,Weekend,NA,-0.4956758030199923,7.321683406375835,7.8173592093958275,3.4130038016779216,7.900960183065143,0.08360097366931551,3.600385279026491,0.1873814773485698
base,derived_duration_midpoint_age,55,Weekday,NA,-0.9252595537608732,6.4331142847106735,7.358373838471547,2.7539273654749,7.416496076324816,0.05812223785326953,2.924918295851777,0.17099093037687751
base,derived_duration_midpoint_age,55,Weekend,NA,-0.5053976203905793,7.3315383326486065,7.836935953039186,3.4130703561290137,7.912558148479281,0.0756221954400953,3.5957536600781737,0.18268330394916
base,derived_duration_midpoint_age,56,Weekday,NA,-0.926323970592018,6.456184852245204,7.382508822837222,2.7649304408265927,7.432839108199833,0.05033028536261064,2.931261486870378,0.16633104604378524
base,derived_duration_midpoint_age,56,Weekend,NA,-0.5138174788360154,7.343040484035099,7.856857962871114,3.414611502599542,7.924452191942994,0.06759422907188029,3.5924968487517632,0.1778853461522214
base,derived_duration_midpoint_age,57,Weekday,NA,-0.9259685353577564,6.481488277312712,7.4074568126704685,2.7777598709774782,7.449935285890772,0.04247847322030385,2.939328162024985,0.16156829104750692
base,derived_duration_midpoint_age,57,Weekend,NA,-0.5209353783563004,7.35618986053531,7.877125238891611,3.417627241089505,7.936642313456286,0.05951707456467492,3.5906148450472597,0.17298760395775403
base,derived_duration_midpoint_age,58,Weekday,NA,-0.924193248058088,6.509024559913199,7.433217807971286,2.792415655927555,7.4677846093976354,0.03456680142634827,2.9491183213156,0.15670266538804434
base,derived_duration_midpoint_age,58,Weekend,NA,-0.5267513189514348,7.370986462149241,7.897737781100676,3.4221175715989034,7.949128513019152,0.05139073191847654,3.5901076489646644,0.16799007736576144
base,derived_duration_midpoint_age,59,Weekday,NA,-0.9209981086930128,6.538793700046665,7.459791808739678,2.808897795676826,7.486387078720422,0.0265952699807439,2.960631964742221,0.15173416906539572
base,derived_duration_midpoint_age,59,Weekend,NA,-0.5312653006214181,7.387430288876893,7.918695589498311,3.4280824941277377,7.961910790631599,0.0432152011332878,3.590975260503975,0.16289276637623828
base,derived_duration_midpoint_age,60,Weekday,NA,-0.9163831172625312,6.570795697713109,7.48717881497564,2.827206290225289,7.505742693859132,0.01856387888349164,2.9738690923048496,0.14666280207956106
base,derived_duration_midpoint_age,60,Weekend,NA,-0.5344773233662506,7.405521340718264,7.9399986640845155,3.435522008676007,7.974989146293622,0.03499048220910694,3.5932176796651927,0.15769567098918458
base,derived_duration_midpoint_age,61,Weekday,NA,-0.9103482737666428,6.605030552912533,7.515378826679176,2.8473411395729453,7.525851454813764,0.01047262813458793,2.988829704003485,0.1414885644305386
base,derived_duration_midpoint_age,61,Weekend,NA,-0.5363873871859323,7.425259617673357,7.96164700485929,3.444436115243713,7.9883635800052195,0.02671657514592951,3.596834906448318,0.15239879120460564
base,derived_duration_midpoint_age,62,Weekday,NA,-0.9028935782053475,6.641498265644935,7.544391843850282,2.8693023437197933,7.546713361584321,0.00232151773403899,3.0055137998381274,0.13621145611833363
base,derived_duration_midpoint_age,62,Weekend,NA,-0.5369954920804629,7.44664511974217,7.983640611822633,3.4548248138308537,8.002034091766397,0.01839347994376439,3.6018269408533508,0.14700212702249615
base,derived_duration_midpoint_age,63,Weekday,NA,-0.8940190305786458,6.680198835910316,7.5742178664889614,2.8930899026658348,7.568328414170802,-0.00588945231815962,3.023921379808777,0.13083147714294263
base,derived_duration_midpoint_age,63,Weekend,NA,-0.5363016380498428,7.469677846924703,8.005979484974546,3.4666881044374303,8.01600068157715,0.01002119660260447,3.60819378288029,0.14150567844285966
base,derived_duration_midpoint_age,64,Weekday,NA,-0.8837246308865374,6.721132263708675,7.604856894595213,2.9187038164110692,7.590696612573206,-0.01416028202200703,3.0440524439154335,0.12534862750436382
base,derived_duration_midpoint_age,64,Weekend,NA,-0.5343058250940718,7.494357799220955,8.028663624315026,3.480025987063441,8.030263349437481,0.00159972512245509,3.6159354325291377,0.13590944546569617
base,derived_duration_midpoint_age,65,Weekday,NA,-0.8720103791290224,6.764298549040014,7.636308928169036,2.946144084955496,7.613817956791533,-0.02249097137750322,3.0659069921580966,0.11976290720260074
base,derived_duration_midpoint_age,65,Weekend,NA,-0.5310080532131498,7.520684976630928,8.051693029844078,3.494838461708889,8.04482209534739,-0.00687093449668729,3.6250518897998902,0.13021342809100034
