outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,employment_clean
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,31,7.571508482263463,7.499539496358365,7.643477468168561,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,31,6.357619769898899,6.286890940551144,6.428348599246654,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,31,7.270244332745513,7.226640239092092,7.313848426398934,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,31,7.609678498131021,7.574836320668385,7.644520675593658,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,31,7.773526118235658,7.7282214940235265,7.81883074244779,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,32,7.248474588394333,7.233076036750333,7.263873140038333,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,32,7.513078175872801,7.457724829093419,7.568431522652183,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,32,7.379401388026605,7.311155285818725,7.447647490234485,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,32,7.525716219256562,7.45642899357914,7.595003444933985,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,32,6.40961592897633,6.342234628605547,6.476997229347114,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,32,7.265284001081851,7.223058612927253,7.307509389236448,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,32,7.607186478825256,7.572225430124983,7.642147527525528,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,32,7.74462593535479,7.701265476467607,7.787986394241973,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,33,7.247495266503109,7.232288651160128,7.26270188184609,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,33,7.497094648915819,7.442983508543072,7.551205789288565,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,33,7.363343098732382,7.296328954485056,7.430357242979707,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,33,7.482412147509814,7.41550507654854,7.549319218471088,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,33,6.460499258225413,6.39635995419708,6.524638562253746,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,33,7.261056059317701,7.2200923599266575,7.302019758708744,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,33,7.604170535402696,7.569055373918269,7.639285696887123,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,33,7.716241550582858,7.674642492000022,7.757840609165694,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,34,7.247269090427808,7.232225151567248,7.262313029288367,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,34,7.481957565878711,7.428894991343467,7.535020140413955,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,34,7.348335293485285,7.282330187077505,7.414340399893066,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,34,7.441596267023216,7.376775276922042,7.506417257124391,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,34,6.510269757646147,6.449265947469655,6.571273567822638,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,34,7.257560507453065,7.217743820675793,7.297377194230338,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,34,7.600630667863344,7.565328596848492,7.635932738878196,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,34,7.688372963919861,7.648356911653715,7.728389016186008,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,35,7.24779606016843,7.23288826466675,7.262703855670111,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,35,7.467666926761482,7.41547379512913,7.519860058393834,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,35,7.33437797228532,7.26917817479648,7.399577769774159,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,35,7.403268577796773,7.340250055763269,7.466287099830277,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,35,6.558927427238532,6.500951564327499,6.6169032901495655,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,35,7.254797345487943,7.216015925692028,7.293578765283858,Self Employed
