outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,72,7.799224585094302,7.779914795707577,7.818534374481026
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,73,7.828369690882245,7.808466508072531,7.848272873691959
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,74,7.858268052426996,7.837724925094313,7.878811179759679
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,75,7.888919669728552,7.867689522350252,7.910149817106852
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,76,7.920324542786916,7.898359981479059,7.9422891040947725
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,77,7.952482671602084,7.929736123273336,7.975229219930832
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,78,7.98539405617406,7.961817952158668,8.008970160189453
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,79,8.01905869650284,7.994605551672355,8.043511841333325
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,80,8.053476592588428,8.028099135813449,8.078854049363407
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,81,8.088647744430821,8.062298982774687,8.114996506086955
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,82,8.12457215203002,8.097205437634699,8.15193886642534
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,83,8.161249815386025,8.132818890871391,8.189680739900659
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,84,8.198680734498836,8.169139759274167,8.228221709723506
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,85,8.236864909368453,8.206168479079178,8.267561339657728
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,18,3.901829575776488,3.8747722240981983,3.9288869274547777
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,19,3.84440385376283,3.817967445273584,3.870840262252076
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,20,3.788701615885178,3.762841210627807,3.814562021142549
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,21,3.734722862143533,3.709394423376134,3.760051300910933
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,22,3.682467592537896,3.657628197428195,3.707306987647596
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,23,3.631935807068264,3.607543838240311,3.656327775896217
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,24,3.583127505734641,3.5591427798785635,3.6071122315907176
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,25,3.5360426885370235,3.5124266614232753,3.5596587156507717
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,26,3.490681355475414,3.4673971996241244,3.513965511326703
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,27,3.447043506549811,3.424056304782072,3.4700307083175495
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,28,3.405129141760215,3.382405946849613,3.4278523366708176
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,29,3.364938261106626,3.342448216845123,3.3874283053681293
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,30,3.326470864589045,3.3041852279099135,3.348756501268176
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,31,3.2897269522074697,3.267619162852732,3.3118347415622074
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,32,3.254706523961902,3.2327521771703696,3.2766608707534344
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,33,3.221409579852341,3.199586451487387,3.2432327082172954
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,34,3.1898361198787875,3.1681240676663935,3.211548172091182
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,35,3.1599861440412407,3.1383671013965864,3.181605186685895
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,36,3.131859652339701,3.1103175065828097,3.153401798096592
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,37,3.105456644774168,3.083977165973084,3.126936123575252
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,38,3.0807771213446427,3.0593478192879533,3.102206423401332
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,39,3.0578210820511234,3.0364311042908807,3.079211059811366
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,40,3.036588526893612,3.0152284958073623,3.0579485579798615
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,41,3.017079455872107,2.995741344300711,3.038417567443503
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,42,2.9992938689866095,2.9779708304021613,3.020616907571058
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,43,2.9832317662371186,2.9619179820535275,3.0045455504207097
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,44,2.968893147623635,2.947583662173229,2.990202633074041
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,45,2.9562780131461586,2.9349685782646344,2.9775874480276827
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,46,2.945386362804689,2.924073260236141,2.9666994653732375
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,47,2.936218196599226,2.91489807955783,2.957538313640622
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,48,2.9287735145297704,2.9074432332491305,2.9501037958104104
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,49,2.923052316596322,2.9017087545776006,2.944395878615043
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,50,2.91905460279888,2.897694507045869,2.9404146985518915
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,51,2.9167803731374455,2.8954001880625806,2.9381605582123105
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,52,2.9162296276120183,2.8948253318598427,2.937633923364194
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,53,2.917402366222597,2.8959693026144007,2.9388354298307937
