outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,day_type,employment_clean
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,8.150692990149686,7.897594109539649,8.403791870759724,Weekend,Homemaker
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,9.98084230103229,9.676808987200072,10.284875614864507,Weekday,Out Of Work Less Than One
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,10.435254789171028,10.130919954195832,10.739589624146223,Weekend,Out Of Work Less Than One
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,7.966367580700227,7.611459027275667,8.321276134124789,Weekday,Out Of Work One Or More
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,8.182888710966253,7.827740977350553,8.538036444581953,Weekend,Out Of Work One Or More
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,-0.0316799053095167,-0.29025300104081314,0.22689319042177977,Weekday,Retired
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,0.22868849959902815,-0.03007682354081159,0.4874538227388679,Weekend,Retired
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,8.138686711803862,7.969853270304688,8.307520153303035,Weekday,Self Employed
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,8.482198399497145,8.313000164326438,8.651396634667853,Weekend,Self Employed
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,9.075438858667892,8.958541710518976,9.19233600681681,Weekday,Student
